id,categories
2987,Nautical
3076,Farming
3076,Economic
3076,City Building
3084,Nautical
3084,Pirates
3084,Fighting
3085,Card Game
3085,Political
3093,Children's Game
3093,Animals
3097,Economic
3097,Post-Napoleonic
3097,Trains
3097,Transportation
3141,Card Game
3141,Animals
3181,Dice
3190,Abstract Strategy
3201,Deduction
3201,Adventure
3201,Fantasy
3201,Movies / TV / Radio theme
3201,Novel-based
3201,Bluffing
3228,Abstract Strategy
3242,Ancient
3242,Fighting
3243,Animals
3243,Bluffing
3243,Farming
3243,Puzzle
3284,Fighting
3284,Miniatures
3284,Movies / TV / Radio theme
3284,Science Fiction
3318,Real-time
3318,Card Game
3319,Print & Play
3319,Abstract Strategy
3337,Card Game
3347,Card Game
3377,Party Game
3377,Trivia
3377,Deduction
3383,Dice
3383,Animals
3406,Abstract Strategy
3421,Sports
3421,Dice
3422,Card Game
3422,Fantasy
3439,Miniatures
3439,Dice
3439,Collectible Components
3439,Fighting
3439,Comic Book / Strip
3522,Dice
3534,Science Fiction
3534,Economic
3565,Miniatures
3565,Horror
3565,Exploration
3565,Wargame
3565,Fighting
3565,Fantasy
3570,Animals
3570,Children's Game
3570,Memory
3586,Card Game
3586,Deduction
3586,Memory
3586,Novel-based
3586,Children's Game
3597,Sports
3632,Card Game
3685,Medieval
3685,Wargame
3699,Card Game
3699,Negotiation
3699,Humor
3699,Animals
3706,Abstract Strategy
3706,Action / Dexterity
3711,Wargame
3711,Vietnam War
3711,Modern Warfare
3711,Korean War
3711,Aviation / Flight
3720,Sports
3720,Action / Dexterity
3728,Party Game
3728,Action / Dexterity
3728,Children's Game
3737,Action / Dexterity
3737,Children's Game
3737,Medical
3804,Card Game
3804,Children's Game
3818,Party Game
3818,Word Game
3818,Trivia
3837,Animals
3837,Memory
3837,Card Game
3837,Children's Game
3845,Comic Book / Strip
3845,Dice
3845,Movies / TV / Radio theme
3845,Children's Game
3874,Children's Game
3874,Deduction
3874,Puzzle
3874,Abstract Strategy
3889,Novel-based
3889,Arabian
3889,Memory
3889,Children's Game
3934,Dice
3934,Children's Game
3934,Sports
3945,Fantasy
3945,Exploration
3945,Children's Game
3945,Action / Dexterity
3945,Adventure
3955,American West
3955,Fighting
3955,Deduction
3955,Card Game
3955,Bluffing
3986,Wargame
3986,World War II
4008,Wargame
4008,World War II
4040,Abstract Strategy
4040,Movies / TV / Radio theme
4095,Card Game
4095,Fighting
4095,Humor
4095,Science Fiction
4098,Trains
4098,Transportation
4098,Economic
4112,Abstract Strategy
4123,Dice
4143,Movies / TV / Radio theme
4143,Deduction
4143,Children's Game
4154,Fantasy
4154,Movies / TV / Radio theme
4154,Collectible Components
4154,Fighting
4154,Card Game
4174,Bluffing
4174,Humor
4174,Party Game
4174,Nautical
4174,Negotiation
4174,Card Game
4209,Children's Game
4209,Sports
4209,Racing
4209,Dice
4282,Dice
4376,Children's Game
4376,Card Game
4390,Prehistoric
4396,Card Game
4396,Animals
4396,Mythology
4491,Fantasy
4493,Action / Dexterity
4493,Children's Game
4519,Dice
4610,Fantasy
4610,Fighting
4610,Novel-based
4636,Abstract Strategy
4636,Bluffing
4636,Deduction
4636,Prehistoric
4637,Racing
4637,Children's Game
4637,Animals
4642,Dice
4642,Sports
4643,Abstract Strategy
4688,Civil War
4688,Wargame
4688,Modern Warfare
4694,Trivia
4694,Movies / TV / Radio theme
4853,Card Game
4862,Party Game
4862,Real-time
4862,Trivia
4888,Action / Dexterity
4888,Children's Game
4907,Children's Game
4907,Video Game Theme
4953,Bluffing
4953,Murder/Mystery
4953,Dice
4953,Deduction
5048,Racing
5048,Children's Game
5130,Children's Game
5130,Exploration
5157,Abstract Strategy
5241,Modern Warfare
5241,Wargame
5243,Word Game
5259,Action / Dexterity
5259,Children's Game
5306,Sports
5306,Card Game
5339,Children's Game
5339,Economic
5354,Action / Dexterity
5354,Children's Game
